_id,REC_ID,IMAGEURL,REFURL1,DIRECTION1,REFURL2,DIRECTION2,MAINROAD,CROSSROAD,OBJECTID,REFURL3,DIRECTION3,REFURL4,DIRECTION4,geometry
1,8000,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8000.jpg,None,None,None,None,ABELL ST,BABY POINT RD,1,None,None,None,None,"{""coordinates"": [[-79.3728309938696, 43.6527039960576]], ""type"": ""MultiPoint""}"
2,8001,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8001.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001e.jpg,East,YORK ST,BREMNER BLVD / RAPTORS WAY,2,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001w.jpg,West,"{""coordinates"": [[-79.3813860009273, 43.6431200069527]], ""type"": ""MultiPoint""}"
3,8002,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8002.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002e.jpg,East,LOWER SIMCOE ST,BREMNER BLVD,3,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002w.jpg,West,"{""coordinates"": [[-79.3840680012719, 43.6422200106563]], ""type"": ""MultiPoint""}"
4,8003,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8003.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003e.jpg,East,JARVIS ST,FRONT ST E / LOWER JARVIS ST,4,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003w.jpg,West,"{""coordinates"": [[-79.3712669943727, 43.6494610001075]], ""type"": ""MultiPoint""}"
5,8004,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8004.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004e.jpg,East,UNIVERSITY AVE,FRONT ST W / YORK ST,5,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004w.jpg,West,"{""coordinates"": [[-79.3825739992347, 43.6451529957272]], ""type"": ""MultiPoint""}"
6,8005,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8005.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005e.jpg,East,FRONT ST W,SIMCOE ST / LOWER SIMCOE ST,6,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005w.jpg,West,"{""coordinates"": [[-79.3848610027037, 43.6446850095358]], ""type"": ""MultiPoint""}"
7,8006,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8006.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006e.jpg,East,FRONT ST W,JOHN ST / PRIVATE ACCESS,7,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006w.jpg,West,"{""coordinates"": [[-79.3888450031211, 43.6438570011493]], ""type"": ""MultiPoint""}"
8,8007,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8007.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007e.jpg,East,SPADINA AVE,FRONT ST W,8,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007w.jpg,West,"{""coordinates"": [[-79.3935820060818, 43.6427400100944]], ""type"": ""MultiPoint""}"
9,8008,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8008.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008e.jpg,East,BATHURST ST,FRONT ST W,9,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008s.jpg,South,None,None,"{""coordinates"": [[-79.4013240045522, 43.6408870010502]], ""type"": ""MultiPoint""}"
10,8009,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8009.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009e.jpg,East,JARVIS ST,KING ST E,10,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009w.jpg,West,"{""coordinates"": [[-79.3719460096928, 43.6503340036241]], ""type"": ""MultiPoint""}"
11,8010,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8010.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010e.jpg,East,KING ST E,PARLIAMENT ST,11,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010w.jpg,West,"{""coordinates"": [[-79.3631910065289, 43.6529050006026]], ""type"": ""MultiPoint""}"
12,8011,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8011.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8011n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8011e.jpg,East,ADELAIDE ST E,PARLIAMENT ST,12,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8011s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8011w.jpg,West,"{""coordinates"": [[-79.36344100899, 43.6534890014317]], ""type"": ""MultiPoint""}"
13,8012,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8012.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8012n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8012e.jpg,East,ADELAIDE ST E,CHURCH ST,13,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8012s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8012w.jpg,West,"{""coordinates"": [[-79.3748159966986, 43.6512640074972]], ""type"": ""MultiPoint""}"
14,8013,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8013.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8013n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8013e.jpg,East,BAY ST,ADELAIDE ST W,14,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8013s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8013w.jpg,West,"{""coordinates"": [[-79.3807319914649, 43.6500350042574]], ""type"": ""MultiPoint""}"
15,8014,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8014.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8014n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8014e.jpg,East,UNIVERSITY AVE,ADELAIDE ST W,15,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8014s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8014w.jpg,West,"{""coordinates"": [[-79.385330003244, 43.6489809958318]], ""type"": ""MultiPoint""}"
16,8015,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8015.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8015n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8015e.jpg,East,ADELAIDE ST W,SIMCOE ST,16,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8015s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8015w.jpg,West,"{""coordinates"": [[-79.3864830020457, 43.6486069967868]], ""type"": ""MultiPoint""}"
17,8016,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8016.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8016n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8016e.jpg,East,RICHMOND ST E,PARLIAMENT ST,17,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8016s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8016w.jpg,West,"{""coordinates"": [[-79.3639570029156, 43.6546980034625]], ""type"": ""MultiPoint""}"
18,8017,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8017.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8017n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8017e.jpg,East,RICHMOND ST E,CHURCH ST,18,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8017s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8017w.jpg,West,"{""coordinates"": [[-79.3753520080616, 43.6525400046123]], ""type"": ""MultiPoint""}"
